Origin,Destination,TemperatureC,WindSpeedKph,ScheduledDepartureHour,DelayMinutes
HYD,DEL,30.8,2.4,22,29
HYD,DEL,21.9,4.3,22,26
HYD,DEL,25.3,7.2,19,0
MAA,HYD,31.9,19.5,0,14
MAA,BOM,22.8,6.4,2,16
BLR,MAA,28.0,2.5,9,46
BOM,HYD,21.3,22.4,4,0
MAA,BOM,32.7,1.8,22,21
MAA,BOM,26.9,10.6,14,0
BLR,HYD,30.7,24.3,1,18
HYD,BLR,34.5,11.1,6,36
DEL,BOM,23.0,7.4,14,22
HYD,BOM,20.2,0.9,0,0
DEL,BOM,23.8,3.1,7,1
MAA,DEL,33.1,18.3,21,0
HYD,BLR,29.2,11.7,16,0
DEL,BOM,24.1,16.0,10,54
MAA,BLR,27.3,24.1,3,0
HYD,DEL,24.8,4.8,22,8
BLR,HYD,34.9,19.9,17,14
MAA,BOM,29.0,24.4,18,8
HYD,MAA,26.4,23.0,16,16
MAA,BOM,30.2,8.9,15,31
DEL,BOM,30.6,14.6,1,8
MAA,DEL,34.1,14.2,13,0
BOM,MAA,22.7,18.7,2,21
DEL,MAA,32.1,11.5,10,27
HYD,DEL,25.4,0.2,2,0
HYD,DEL,26.8,4.3,5,0
HYD,BOM,22.4,14.0,18,34
HYD,DEL,24.1,0.8,11,3
BLR,HYD,33.7,13.8,16,6
MAA,BLR,29.9,1.7,21,9
BOM,HYD,29.8,17.9,4,35
DEL,BOM,26.0,18.9,7,49
HYD,MAA,34.9,20.8,8,38
HYD,MAA,31.8,3.3,10,14
BOM,DEL,33.9,8.4,21,0
DEL,HYD,27.6,14.2,6,30
BOM,BLR,34.7,1.1,10,0
HYD,DEL,30.8,24.7,22,0
MAA,DEL,20.4,12.4,9,24
BLR,BOM,27.5,23.2,4,6
DEL,BOM,25.0,17.8,6,19
BLR,MAA,23.8,3.3,22,0
BLR,HYD,24.6,23.9,9,6
DEL,HYD,31.3,10.1,18,12
MAA,HYD,23.6,18.1,4,0
BOM,BLR,32.1,5.9,18,0
BOM,BLR,27.7,21.0,1,0
BLR,MAA,31.8,20.5,14,33
HYD,DEL,29.4,22.3,3,2
BLR,BOM,30.6,24.9,5,28
HYD,MAA,24.8,0.5,20,15
BOM,HYD,27.8,13.9,10,0
HYD,MAA,20.3,14.7,10,0
MAA,DEL,30.1,6.1,22,17
DEL,MAA,29.5,20.9,5,24
BOM,MAA,30.9,21.5,21,58
DEL,BOM,21.8,20.6,17,35
HYD,BLR,31.0,10.3,17,2
BLR,DEL,32.1,18.9,1,36
BOM,BLR,26.8,18.2,4,15
BOM,DEL,24.2,12.0,21,23
MAA,BLR,27.8,4.1,15,33
DEL,BLR,21.6,12.3,18,18
